@relation test-dataset1

@attribute business_id numeric
@attribute cluster1 numeric
@attribute cluster2 numeric
@attribute cluster3 numeric
@attribute cluster4 numeric
@attribute cluster5 numeric
@attribute cluster6 numeric
@attribute cluster7 numeric
@attribute cluster8 numeric
@attribute cluster9 numeric
@attribute cluster10 numeric
@attribute cluster11 numeric
@attribute cluster12 numeric
@attribute cluster13 numeric
@attribute cluster14 numeric
@attribute cluster15 numeric
@attribute cluster16 numeric
@attribute cluster17 numeric
@attribute cluster18 numeric
@attribute cluster19 numeric
@attribute cluster20 numeric
@attribute cluster21 numeric
@attribute cluster22 numeric
@attribute cluster23 numeric
@attribute cluster24 numeric
@attribute cluster25 numeric
@attribute cluster26 numeric
@attribute cluster27 numeric
@attribute cluster28 numeric
@attribute cluster29 numeric
@attribute cluster30 numeric
@attribute cluster31 numeric
@attribute cluster32 numeric
@attribute cluster33 numeric
@attribute cluster34 numeric
@attribute cluster35 numeric
@attribute cluster36 numeric
@attribute cluster37 numeric
@attribute cluster38 numeric
@attribute cluster39 numeric
@attribute cluster40 numeric
@attribute cluster41 numeric
@attribute cluster42 numeric
@attribute cluster43 numeric
@attribute cluster44 numeric
@attribute cluster45 numeric
@attribute cluster46 numeric
@attribute cluster47 numeric
@attribute cluster48 numeric
@attribute cluster49 numeric
@attribute cluster50 numeric
@attribute cluster51 numeric
@attribute cluster52 numeric
@attribute cluster53 numeric
@attribute cluster54 numeric
@attribute cluster55 numeric
@attribute cluster56 numeric
@attribute cluster57 numeric
@attribute cluster58 numeric
@attribute cluster59 numeric
@attribute cluster60 numeric
@attribute cluster61 numeric
@attribute cluster62 numeric
@attribute cluster63 numeric
@attribute cluster64 numeric
@attribute cluster65 numeric
@attribute cluster66 numeric
@attribute cluster67 numeric
@attribute cluster68 numeric
@attribute cluster69 numeric
@attribute cluster70 numeric
@attribute cluster71 numeric
@attribute cluster72 numeric
@attribute cluster73 numeric
@attribute cluster74 numeric
@attribute cluster75 numeric
@attribute cluster76 numeric
@attribute cluster77 numeric
@attribute cluster78 numeric
@attribute cluster79 numeric
@attribute cluster80 numeric
@attribute cluster81 numeric
@attribute cluster82 numeric
@attribute cluster83 numeric
@attribute cluster84 numeric
@attribute cluster85 numeric
@attribute cluster86 numeric
@attribute cluster87 numeric
@attribute cluster88 numeric
@attribute cluster89 numeric
@attribute cluster90 numeric
@attribute cluster91 numeric
@attribute cluster92 numeric
@attribute cluster93 numeric
@attribute cluster94 numeric
@attribute cluster95 numeric
@attribute cluster96 numeric
@attribute cluster97 numeric
@attribute cluster98 numeric
@attribute cluster99 numeric
@attribute cluster100 numeric
@attribute label1 {0,1}
@attribute label2 {0,1}
@attribute label3 {0,1}
@attribute label4 {0,1}
@attribute label5 {0,1}
@attribute label6 {0,1}
@attribute label7 {0,1}
@attribute label8 {0,1}
@attribute label9 {0,1}

@data
af0iy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
s4n0d,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
s1e3l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
yinms,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
3i26e,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
3ivad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
0zrov,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
ean2c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
toisr,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
74ecy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
80dw9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
aitij,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
s0m7q,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
